"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-May-2022","    16924.45","    17092.25","    16917.25","    17069.10","      278155513","        21222.64"
"04-May-2022","    17096.60","    17132.85","    16623.95","    16677.60","      310632799","        27405.52"
"05-May-2022","    16854.75","    16945.70","    16651.85","    16682.65","      265793403","        21792.91"
"06-May-2022","    16415.55","    16484.20","    16340.90","    16411.25","      300527719","        25472.95"
"09-May-2022","    16227.70","    16403.70","    16142.10","    16301.85","      288402950","        23274.74"
"10-May-2022","    16248.90","    16404.55","    16197.30","    16240.05","      283061200","        22685.27"
"11-May-2022","    16270.05","    16318.75","    15992.60","    16167.10","      284294438","        22994.38"
"12-May-2022","    16021.10","    16041.95","    15735.75","    15808.00","      314921678","        25352.34"
"13-May-2022","    15977.00","    16083.60","    15740.85","    15782.15","      369135540","        27454.12"
"16-May-2022","    15845.10","    15977.95","    15739.65","    15842.30","      217646558","        17852.19"
"17-May-2022","    15912.60","    16284.25","    15900.80","    16259.30","      295687774","        22782.99"
"18-May-2022","    16318.15","    16399.80","    16211.20","    16240.30","      290441105","        23889.84"
"19-May-2022","    15917.40","    15984.75","    15775.20","    15809.40","      313876082","        24340.84"
"20-May-2022","    16043.80","    16283.05","    16003.85","    16266.15","      252402013","        22806.69"
"23-May-2022","    16290.95","    16414.70","    16185.75","    16214.70","      293829853","        25110.85"
"24-May-2022","    16225.55","    16262.80","    16078.60","    16125.15","      249778296","        21895.75"
"25-May-2022","    16196.35","    16223.35","    16006.95","    16025.80","      243342347","        21400.14"
"26-May-2022","    16105.00","    16204.45","    15903.70","    16170.15","      314305739","        27721.21"
"27-May-2022","    16296.60","    16370.60","    16221.95","    16352.45","      274064956","        21341.98"
"30-May-2022","    16527.90","    16695.50","    16506.15","    16661.40","      251400757","        21216.50"
"31-May-2022","    16578.45","    16690.75","    16521.90","    16584.55","      651613610","        52929.35"
"01-Jun-2022","    16594.40","    16649.20","    16438.85","    16522.75","      249619038","        19350.33"
"02-Jun-2022","    16481.65","    16646.40","    16443.05","    16628.00","      235958283","        20055.84"
"03-Jun-2022","    16761.65","    16793.85","    16567.90","    16584.30","      245514871","        22249.29"
"06-Jun-2022","    16530.70","    16610.95","    16444.55","    16569.55","      233589132","        17999.41"
"07-Jun-2022","    16469.60","    16487.25","    16347.10","    16416.35","      233814633","        17921.95"
"08-Jun-2022","    16474.95","    16514.30","    16293.35","    16356.25","      243481044","        18336.15"
"09-Jun-2022","    16263.85","    16492.80","    16243.85","    16478.10","      204954394","        16721.68"
"10-Jun-2022","    16283.95","    16324.70","    16172.60","    16201.80","      189680523","        18388.03"
